64720,"ADRIAN, MO",ADRIAN,MO,BATES
63730,"ADVANCE, MO",ADVANCE,MO,STODDARD
64401,"AGENCY, MO",AGENCY,MO,BUCHANAN
64830,"ALBA, MO",ALBA,MO,JASPER
64402,"ALBANY, MO",ALBANY,MO,GENTRY
65601,"ALDRICH, MO",ALDRICH,MO,POLK
63430,"ALEXANDRIA, MO",ALEXANDRIA,MO,CLARK
64420,"ALLENDALE, MO",ALLENDALE,MO,WORTH
64001,"ALMA, MO",ALMA,MO,LAFAYETTE
64620,"ALTAMONT, MO",ALTAMONT,MO,DAVIESS
63732,"ALTENBURG, MO",ALTENBURG,MO,CAPE GIRARDEAU
65606,"ALTON, MO",ALTON,MO,OREGON
64421,"AMAZONIA, MO",AMAZONIA,MO,ANDREW
64422,"AMITY, MO",AMITY,MO,DEKALB
64722,"AMORET, MO",AMORET,MO,BATES
64723,"AMSTERDAM, MO",AMSTERDAM,MO,BATES
63431,"ANABEL, MO",ANABEL,MO,MACON
64831,"ANDERSON, MO",ANDERSON,MO,MCDONALD
63620,"ANNAPOLIS, MO",ANNAPOLIS,MO,IRON
63820,"ANNISTON, MO",ANNISTON,MO,MISSISSIPPI
64724,"APPLETON CITY, MO",APPLETON CITY,MO,SAINT CLAIR
63432,"ARBELA, MO",ARBELA,MO,SCOTLAND
63821,"ARBYRD, MO",ARBYRD,MO,DUNKLIN
63621,"ARCADIA, MO",ARCADIA,MO,IRON
64725,"ARCHIE, MO",ARCHIE,MO,CASS
65603,"ARCOLA, MO",ARCOLA,MO,DADE
65001,"ARGYLE, MO",ARGYLE,MO,OSAGE
65230,"ARMSTRONG, MO",ARMSTRONG,MO,HOWARD
63010,"ARNOLD, MO",ARNOLD,MO,JEFFERSON
65320,"ARROW ROCK, MO",ARROW ROCK,MO,SALINE
64832,"ASBURY, MO",ASBURY,MO,BARTON
65604,"ASH GROVE, MO",ASH GROVE,MO,GREENE
65010,"ASHLAND, MO",ASHLAND,MO,BOONE
63530,"ATLANTA, MO",ATLANTA,MO,MACON
63332,"AUGUSTA, MO",AUGUSTA,MO,SAINT CHARLES
65605,"AURORA, MO",AURORA,MO,LAWRENCE
65231,"AUXVASSE, MO",AUXVASSE,MO,CALLAWAY
65608,"AVA, MO",AVA,MO,DOUGLAS
64833,"AVILLA, MO",AVILLA,MO,JASPER
65609,"BAKERSFIELD, MO",BAKERSFIELD,MO,OZARK
63011,"BALLWIN, MO",BALLWIN,MO,SAINT LOUIS
63021,"BALLWIN, MO",BALLWIN,MO,SAINT LOUIS
63022,"BALLWIN, MO",BALLWIN,MO,SAINT LOUIS
63024,"BALLWIN, MO",BALLWIN,MO,SAINT LOUIS
63531,"BARING, MO",BARING,MO,KNOX
64423,"BARNARD, MO",BARNARD,MO,NODAWAY
65011,"BARNETT, MO",BARNETT,MO,MORGAN
63012,"BARNHART, MO",BARNHART,MO,JEFFERSON
64011,"BATES CITY, MO",BATES CITY,MO,LAFAYETTE
63013,"BEAUFORT, MO",BEAUFORT,MO,FRANKLIN
63622,"BELGRADE, MO",BELGRADE,MO,WASHINGTON
63735,"BELL CITY, MO",BELL CITY,MO,STODDARD
65013,"BELLE, MO",BELLE,MO,MARIES
63623,"BELLEVIEW, MO",BELLEVIEW,MO,IRON
63333,"BELLFLOWER, MO",BELLFLOWER,MO,MONTGOMERY
64012,"BELTON, MO",BELTON,MO,CASS
63736,"BENTON, MO",BENTON,MO,SCOTT
65232,"BENTON CITY, MO",BENTON CITY,MO,AUDRAIN
63014,"BERGER, MO",BERGER,MO,FRANKLIN
63822,"BERNIE, MO",BERNIE,MO,STODDARD
63823,"BERTRAND, MO",BERTRAND,MO,MISSISSIPPI
64424,"BETHANY, MO",BETHANY,MO,HARRISON
63434,"BETHEL, MO",BETHEL,MO,SHELBY
63532,"BEVIER, MO",BEVIER,MO,MACON
65610,"BILLINGS, MO",BILLINGS,MO,CHRISTIAN
65438,"BIRCH TREE, MO",BIRCH TREE,MO,SHANNON
63624,"BISMARCK, MO",BISMARCK,MO,SAINT FRANCOIS
65439,"BIXBY, MO",BIXBY,MO,IRON
63625,"BLACK, MO",BLACK,MO,REYNOLDS
65321,"BLACKBURN, MO",BLACKBURN,MO,SALINE
65322,"BLACKWATER, MO",BLACKWATER,MO,COOPER
63626,"BLACKWELL, MO",BLACKWELL,MO,SAINT FRANCOIS
64726,"BLAIRSTOWN, MO",BLAIRSTOWN,MO,HENRY
65014,"BLAND, MO",BLAND,MO,GASCONADE
63825,"BLOOMFIELD, MO",BLOOMFIELD,MO,STODDARD
63627,"BLOOMSDALE, MO",BLOOMSDALE,MO,SAINTE GENEVIEVE
65611,"BLUE EYE, MO",BLUE EYE,MO,STONE
64013,"BLUE SPRINGS, MO",BLUE SPRINGS,MO,JACKSON
64014,"BLUE SPRINGS, MO",BLUE SPRINGS,MO,JACKSON
64015,"BLUE SPRINGS, MO",BLUE SPRINGS,MO,JACKSON
64426,"BLYTHEDALE, MO",BLYTHEDALE,MO,HARRISON
64622,"BOGARD, MO",BOGARD,MO,CARROLL
65612,"BOIS D ARC, MO",BOIS D ARC,MO,GREENE
64427,"BOLCKOW, MO",BOLCKOW,MO,ANDREW
65613,"BOLIVAR, MO",BOLIVAR,MO,POLK
63628,"BONNE TERRE, MO",BONNE TERRE,MO,SAINT FRANCOIS
65016,"BONNOTS MILL, MO",BONNOTS MILL,MO,OSAGE
65233,"BOONVILLE, MO",BOONVILLE,MO,COOPER
65440,"BOSS, MO",BOSS,MO,DENT
64623,"BOSWORTH, MO",BOSWORTH,MO,CARROLL
65441,"BOURBON, MO",BOURBON,MO,CRAWFORD
63334,"BOWLING GREEN, MO",BOWLING GREEN,MO,PIKE
65614,"BRADLEYVILLE, MO",BRADLEYVILLE,MO,TANEY
63827,"BRAGG CITY, MO",BRAGG CITY,MO,PEMISCOT
63826,"BRAGGADOCIO, MO",BRAGGADOCIO,MO,PEMISCOT
65688,"BRANDSVILLE, MO",BRANDSVILLE,MO,HOWELL
65615,"BRANSON, MO",BRANSON,MO,TANEY
65616,"BRANSON, MO",BRANSON,MO,TANEY
63533,"BRASHEAR, MO",BRASHEAR,MO,ADAIR
64624,"BRAYMER, MO",BRAYMER,MO,CALDWELL
64625,"BRECKENRIDGE, MO",BRECKENRIDGE,MO,CALDWELL
63044,"BRIDGETON, MO",BRIDGETON,MO,SAINT LOUIS
65617,"BRIGHTON, MO",BRIGHTON,MO,POLK
65443,"BRINKTOWN, MO",BRINKTOWN,MO,MARIES
65618,"BRIXEY, MO",BRIXEY,MO,OZARK
64728,"BRONAUGH, MO",BRONAUGH,MO,VERNON
64628,"BROOKFIELD, MO",BROOKFIELD,MO,LINN
65619,"BROOKLINE, MO",BROOKLINE,MO,GREENE
